ds,Weekly_Sales,yhat,dept
2012-05-18,706333.52,713166.1268886904,81
2012-05-25,736001.15,712611.0245274653,81
2012-06-01,736164.9200000002,746375.5301990787,81
2012-06-08,762330.6800000002,762318.8301399535,81
2012-06-15,739940.6900000003,725504.2709292616,81
2012-06-22,704231.2300000002,704394.1346243229,81
2012-06-29,701849.2000000002,740755.8142861191,81
2012-07-06,803837.3899999999,765774.4693661759,81
2012-07-13,712570.5800000002,734113.3631569726,81
2012-07-20,707289.29,698313.1288687962,81
2012-07-27,679469.59,701793.6797367515,81
2012-08-03,716717.8500000001,722156.1035132672,81
2012-08-10,718995.3599999999,728382.7578676514,81
2012-08-17,702113.3199999998,715895.5558250432,81
2012-08-24,688504.7000000001,706081.0210422714,81
2012-08-31,704173.1,723956.2415347548,81
2012-09-07,756675.7100000001,743636.3030637051,81
2012-09-14,693876.7500000002,714385.0581813294,81
2012-09-21,681888.6099999999,666659.9911012416,81
2012-09-28,660674.6399999999,675236.294887871,81
2012-10-05,719373.0200000003,716117.3746504372,81
2012-10-12,700112.93,709866.4364548825,81
2012-10-19,678739.8,670808.6424914743,81
2012-10-26,681254.6699999997,663257.0382705394,81
2012-01-06,1682066.92,1500288.7609147406,91
2012-01-13,1642329.0100000002,1676232.014847766,91
2012-01-20,1590982.85,1585709.2188949308,91
2012-01-27,1446032.9300000002,1514490.6823185582,91
2012-02-03,1660745.6799999997,1669881.0922911027,91
2012-02-10,1752918.02,1754554.850642675,91
2012-02-17,1583235.1700000002,1600553.429750734,91
2012-02-24,1524141.56,1503253.8183006393,91
2012-03-02,1575192.0300000003,1610319.5452124705,91
2012-03-09,1702872.48,1670868.643119366,91
2012-03-16,1582847.8300000005,1557981.2617382142,91
2012-03-23,1435878.79,1456715.15025921,91
2012-03-30,1439058.0999999999,1494068.3937016027,91
2012-04-06,1727740.5600000003,1584852.8069918673,91
2012-04-13,1506578.8600000003,1599533.884029864,91
2012-04-20,1502634.2400000002,1509256.7526018894,91
2012-04-27,1449483.19,1438707.8219115727,91
2012-05-04,1609783.3300000005,1514024.4456086,91
2012-05-11,1614164.7799999993,1611487.3015940161,91
2012-05-18,1495863.55,1531621.0826633573,91
2012-05-25,1448207.4699999995,1402834.589178969,91
2012-06-01,1436806.9599999997,1480749.2788581324,91
2012-06-08,1714955.3200000003,1646869.6156135143,91
2012-06-15,1598652.62,1614681.093912311,91
2012-06-22,1458372.7500000002,1463277.8335886367,91
2012-06-29,1424157.89,1464164.528122706,91
2012-07-06,1636697.4,1585594.0207965744,91
2012-07-13,1583481.9200000002,1599465.7992076674,91
2012-07-20,1515123.8800000004,1491142.0175976148,91
2012-07-27,1400701.6900000004,1447094.362235871,91
2012-08-03,1562167.6900000002,1544005.4327608463,91
2012-08-10,1618352.32,1634797.7557838373,91
2012-08-17,1556128.0099999998,1565669.6635333702,91
2012-08-24,1445674.0100000002,1438071.005822039,91
2012-08-31,1415292.5799999998,1474526.394702006,91
2012-09-07,1665468.1,1616002.11391942,91
2012-09-14,1539336.8199999998,1592809.836097791,91
2012-09-21,1463990.76,1433647.2473540774,91
2012-09-28,1386313.8999999997,1436303.034360479,91
2012-10-05,1614757.5500000003,1603687.5701862094,91
2012-10-12,1572914.21,1638552.474404114,91
2012-10-19,1492627.75,1492674.0870575244,91
2012-10-26,1413435.2900000003,1416088.8030613402,91
2012-01-06,684567.4200000002,611707.1660249201,97
2012-01-13,636658.1400000001,643931.4793721852,97
2012-01-20,604279.0900000001,596079.0845719936,97
2012-01-27,550382.2599999999,551425.90830694,97
2012-02-03,631234.6000000002,648008.0950540669,97
2012-02-10,662132.54,667396.0404045777,97
2012-02-17,609210.3200000002,591214.9098045585,97
2012-02-24,585227.4300000002,573860.6846904547,97
2012-03-02,597626.2999999999,601276.1343553588,97
2012-03-09,655687.99,627758.1464052444,97
2012-03-16,621383.41,592997.9082309603,97
2012-03-23,572162.7000000001,577340.2986514394,97
2012-03-30,570840.4,557798.2707114087,97
2012-04-06,689761.2000000001,640139.361279002,97
2012-04-13,612877.88,608845.7418886152,97
2012-04-20,603253.7899999997,618679.5585694616,97
2012-04-27,578281.85,545018.5375272577,97
2012-05-04,644811.2300000001,652225.6606522229,97
2012-05-11,649432.8300000001,646933.0453681503,97
2012-05-18,620957.45,616573.2708992141,97
2012-05-25,645323.3900000001,632702.3482596484,97
2012-06-01,648102.66,681592.8419856797,97
2012-06-08,696572.4700000001,696308.7939847118,97
2012-06-15,667696.5900000001,677327.0611551253,97
2012-06-22,628134.58,629119.1373431238,97
2012-06-29,616911.39,666760.4044960584,97
2012-07-06,764413.3600000002,745927.0622824295,97
2012-07-13,661110.9699999997,681174.1914790069,97
2012-07-20,636984.1100000002,653011.3929652482,97
2012-07-27,597300.27,600069.0897127233,97
2012-08-03,671580.7200000002,687634.8730805053,97
2012-08-10,683494.44,698131.5546606282,97
2012-08-17,652623.3800000001,651260.354031299,97
2012-08-24,612901.85,639780.0662876914,97
2012-08-31,644810.8599999998,653515.6362355559,97
2012-09-07,737854.0300000003,717760.1991619599,97
2012-09-14,656063.9999999999,656108.1819889924,97
2012-09-21,632319.93,611559.3831955633,97
2012-09-28,595681.6900000001,571159.2780116939,97
2012-10-05,691324.88,674106.8033850453,97
2012-10-12,663735.01,661075.114492995,97
2012-10-19,618701.1499999999,605207.0923427893,97
2012-10-26,596563.7000000002,578069.9093888344,97
2012-01-06,796413.5499999999,727669.2042855137,46
2012-01-13,758812.4499999998,799046.7836244581,46
2012-01-20,803965.97,754718.970228063,46
2012-01-27,759632.8100000002,806703.4019537544,46
2012-02-03,862002.5199999996,827671.2856484553,46
2012-02-10,903745.1699999998,901892.9883182565,46
2012-02-17,909109.1399999999,916164.2065552878,46
2012-02-24,903703.7299999997,917843.6353076908,46
2012-03-02,908581.0799999997,896812.048702154,46
2012-03-09,931032.4500000001,941932.2531886551,46
2012-03-16,919070.4699999997,886320.7631128937,46
2012-03-23,877795.6499999999,910000.7940138361,46
2012-03-30,882787.0399999998,890528.935878872,46
2012-04-06,990215.6100000001,957610.1261655877,46
2012-04-13,910779.22,892532.7420609451,46
2012-04-20,925222.5699999998,966066.5232469754,46
2012-04-27,911825.2900000004,888151.5980912468,46
2012-05-04,954383.8200000001,965674.2275372414,46
2012-05-11,931724.2200000001,955165.6056528251,46
2012-05-18,958578.8099999997,951775.891583409,46
2012-05-25,1044806.9,978009.7515791239,46
2012-06-01,1050800.5899999999,1088927.0860905745,46
2012-06-08,1056669.6399999997,1053753.0122350724,46
2012-06-15,1022703.7000000001,1018183.8725483597,46
2012-06-22,1030028.76,1002008.853379167,46
2012-06-29,1027480.22,1028689.0290769048,46
2012-07-06,1064581.51,1007832.4597305398,46
2012-07-13,967522.9499999998,971465.3783727852,46
2012-07-20,934680.0599999997,954176.0626849692,46
2012-07-27,885057.22,922975.3237716901,46
2012-08-03,921350.4599999998,921054.555858001,46
2012-08-10,893742.7,908409.7689028587,46
2012-08-17,886297.1999999997,893773.8596436349,46
2012-08-24,885445.99,904436.0412206574,46
2012-08-31,855503.6300000001,852697.1510411145,46
2012-09-07,837038.33,855496.0430682888,46
2012-09-14,788536.0599999997,810512.5271369064,46
2012-09-21,797121.48,804048.5407992535,46
2012-09-28,777710.6699999999,791694.8939502742,46
2012-10-05,818882.85,821988.8392840688,46
2012-10-12,782297.55,828475.2255134083,46
2012-10-19,788171.3999999997,804962.6908964776,46
2012-10-26,813260.4000000001,843238.8943601334,46
2012-01-06,2241109.21,2267961.985482293,40
2012-01-13,2124902.57,1908382.6337679205,40
2012-01-20,2116767.6199999996,2123215.49500766,40
2012-01-27,2001857.1999999997,2038478.1693780543,40
2012-02-03,2192252.31,1995260.1399455878,40
2012-02-10,2209307.6300000004,2297183.3007316124,40
2012-02-17,2136071.0,2083847.8524606023,40
2012-02-24,2173879.8099999996,2118503.5184266022,40
2012-03-02,2227096.1899999995,2247186.9140729234,40
2012-03-09,2218429.26,2120205.401608898,40
2012-03-16,2140228.8400000003,2093328.7962480057,40
2012-03-23,2075683.8099999998,2055522.001133356,40
2012-03-30,2077302.89,2042255.2665242485,40
2012-04-06,2171153.2500000005,2095407.2110842944,40
2012-04-13,2008446.4099999997,1984384.9789852325,40
2012-04-20,2111299.3499999996,2100528.39927208,40
2012-04-27,2018965.0000000005,1918440.6499828182,40
2012-05-04,2115023.6799999997,2111249.0783558725,40
2012-05-11,2002033.9600000004,1963127.0303824206,40
2012-05-18,1971776.49,2005076.838258339,40
2012-05-25,2048622.9700000002,1960202.7591257694,40
2012-06-01,1977983.1299999997,2028223.2538418542,40
2012-06-08,2099825.1600000006,2002743.4864303488,40
2012-06-15,2020702.4699999997,1979004.0354156666,40
2012-06-22,1970137.7099999997,1948972.2290595148,40
2012-06-29,2003223.0000000002,1993065.3745312758,40
2012-07-06,2048923.5699999998,1980798.3978737372,40
2012-07-13,1972018.7300000004,1962417.6265070918,40
2012-07-20,1993286.8999999997,1955693.043742174,40
2012-07-27,1947620.4900000007,1891183.6706446602,40
2012-08-03,2071343.1400000006,2029386.862338354,40
2012-08-10,2030745.3600000006,1952753.4820168517,40
2012-08-17,2069145.2600000005,1936658.5462851943,40
2012-08-24,2056524.22,2056655.5762111065,40
2012-08-31,2060466.9599999995,1934155.6924181185,40
2012-09-07,2148970.89,2091187.2324772798,40
2012-09-14,2056519.27,1990422.9230531433,40
2012-09-21,2071286.53,2009355.049022209,40
2012-09-28,2041705.9999999995,1976400.9789854747,40
2012-10-05,2105399.88,2109208.1575190118,40
2012-10-12,2041674.7600000002,1986102.4585308295,40
2012-10-19,2007722.1000000006,2015345.9415133158,40
2012-10-26,2021902.0200000007,2000750.3535623206,40
2012-01-06,1437179.0400000003,1282291.3593983653,13
2012-01-13,1317409.4299999995,1312348.7602960216,13
2012-01-20,1318835.6299999997,1278971.5718831006,13
2012-01-27,1210821.0299999996,1272149.6434713344,13
2012-02-03,1381251.29,1325357.902413161,13
2012-02-10,1391368.4199999992,1343295.8943947125,13
2012-02-17,1323643.8399999999,1322374.4775273253,13
2012-02-24,1399372.0,1360142.6238872758,13
2012-03-02,1439392.0000000005,1421281.2447555857,13
2012-03-09,1407645.7699999998,1389947.674024911,13
2012-03-16,1375568.4299999995,1306099.2773379795,13
2012-03-23,1345261.6800000002,1287193.9608241396,13
2012-03-30,1344799.7099999995,1322163.5711530885,13
2012-04-06,1445925.4699999997,1338044.4797078483,13
2012-04-13,1287435.0699999996,1332704.512813802,13
2012-04-20,1366994.6100000003,1328976.1636568299,13
2012-04-27,1311185.0800000003,1325610.2634799646,13
2012-05-04,1404842.3599999999,1321521.5076009335,13
2012-05-11,1313009.6400000004,1310033.543025294,13
2012-05-18,1296484.5100000002,1295754.0582245523,13
2012-05-25,1365928.1099999999,1321116.702550029,13
2012-06-01,1379750.2800000003,1380534.6129003707,13
2012-06-08,1439081.7400000007,1385872.3078994495,13
2012-06-15,1346871.89,1325927.1898009682,13
2012-06-22,1320373.1999999997,1310202.674657935,13
2012-06-29,1360284.1500000004,1367291.1037473467,13
2012-07-06,1453193.1999999995,1398321.7906781803,13
2012-07-13,1356708.85,1372655.3996556392,13
2012-07-20,1375985.3700000003,1359804.0878141043,13
2012-07-27,1331878.6400000001,1378920.7669674524,13
2012-08-03,1469757.42,1395966.8278707513,13
2012-08-10,1445633.7000000007,1410544.7634537923,13
2012-08-17,1485107.29,1432835.5696652432,13
2012-08-24,1495252.1599999995,1459407.2697506396,13
2012-08-31,1477203.88,1491167.371820401,13
2012-09-07,1549379.8099999998,1494140.6309409577,13
2012-09-14,1394992.51,1426779.802683113,13
2012-09-21,1392126.6500000001,1358111.1161117337,13
2012-09-28,1366582.3400000003,1387174.9072240815,13
2012-10-05,1491837.65,1446685.9649435654,13
2012-10-12,1384402.35,1412784.4993142956,13
2012-10-19,1357757.1800000002,1340193.26915124,13
2012-10-26,1352299.5099999998,1346036.3443786527,13
2012-01-06,1312275.4899999995,1145383.8212973513,4
2012-01-13,1148915.9,1149848.5156710073,4
2012-01-20,1134875.9200000002,1128335.8432266712,4
2012-01-27,1051860.06,1096770.6043649998,4
2012-02-03,1198011.25,1140792.4733155693,4
2012-02-10,1198930.0700000003,1171779.2991042144,4
2012-02-17,1130725.63,1120153.4664349044,4
2012-02-24,1152215.22,1104345.5485239404,4
2012-03-02,1186385.7,1157218.7536724862,4
2012-03-09,1167606.9499999997,1146823.7267442963,4
2012-03-16,1128731.08,1075473.2261369457,4
2012-03-23,1098745.6199999999,1075438.5488407263,4
2012-03-30,1115067.1,1132764.4712487727,4
2012-04-06,1269378.4600000004,1143374.3208965189,4
2012-04-13,1141175.8499999999,1120211.1068765295,4
2012-04-20,1167435.2100000002,1120862.158601909,4
2012-04-27,1119801.1099999999,1134649.2798103055,4
2012-05-04,1203834.99,1139729.7376309107,4
2012-05-11,1131728.9,1132913.5800020997,4
2012-05-18,1138041.6800000004,1125471.0882555086,4
2012-05-25,1232406.55,1163222.6186162138,4
2012-06-01,1252502.9300000006,1235609.0003619972,4
2012-06-08,1276630.6899999997,1231743.6333218464,4
2012-06-15,1186658.64,1147306.6063791295,4
2012-06-22,1168655.86,1143015.4995289277,4
2012-06-29,1206631.7900000005,1246014.309176388,4
2012-07-06,1347422.8199999998,1283966.919928561,4
2012-07-13,1201826.5999999996,1212285.9556954778,4
2012-07-20,1214278.2300000002,1171227.6051279737,4
2012-07-27,1163598.8100000003,1205535.409740528,4
2012-08-03,1271804.07,1239749.2193269879,4
2012-08-10,1250046.5599999998,1255095.7044608127,4
2012-08-17,1243708.0299999998,1266362.4477898877,4
2012-08-24,1251628.5299999998,1264772.8760066456,4
2012-08-31,1245850.8,1268465.0197993773,4
2012-09-07,1291517.23,1267063.0096387262,4
2012-09-14,1140553.4199999997,1197379.3162984538,4
2012-09-21,1131506.4699999997,1109336.4587048204,4
2012-09-28,1104026.27,1126273.425666343,4
2012-10-05,1207399.66,1186641.626603041,4
2012-10-12,1136651.53,1152803.9283817287,4
2012-10-19,1131269.3100000003,1101527.509581749,4
2012-10-26,1151035.43,1146186.3728797885,4
2012-01-06,3862416.7899999996,3243510.4024475934,92
2012-01-13,3746489.0699999994,3707186.3193590357,92
2012-01-20,3613365.949999999,3652234.809392901,92
2012-01-27,3313512.4,3376096.558937454,92
2012-02-03,3746408.7199999997,3678584.5276389057,92
2012-02-10,3910737.1800000006,3956912.509186429,92
2012-02-17,3627632.69,3592473.1844464433,92
2012-02-24,3476677.5199999996,3338972.2684455873,92
2012-03-02,3603681.27,3645102.036913028,92
2012-03-09,3841342.2500000005,3767266.12012602,92
2012-03-16,3562833.7299999995,3430791.199160366,92
2012-03-23,3246339.7199999997,3266069.730830373,92
2012-03-30,3198482.2199999993,3441775.02419179,92
2012-04-06,3961282.39,3558635.7836518786,92
2012-04-13,3418386.550000001,3504821.000315104,92
2012-04-20,3376507.9400000004,3386826.6625700393,92
2012-04-27,3198465.01,3292430.3188535366,92
2012-05-04,3562210.8300000005,3382371.8771550683,92
2012-05-11,3580365.37,3544957.7481474164,92
2012-05-18,3329510.970000001,3426301.054724365,92
2012-05-25,3312643.7599999993,3214499.612188245,92
2012-06-01,3252011.5999999987,3380515.375000882,92
2012-06-08,3762798.34,3646308.118095139,92
2012-06-15,3508427.03,3495137.5665192846,92
2012-06-22,3219124.8299999996,3251738.259648535,92
2012-06-29,3209825.9600000004,3397607.646073207,92
2012-07-06,3718174.83,3618104.5822177175,92
2012-07-13,3483021.3900000006,3511060.40199703,92
2012-07-20,3355136.34,3302872.46993923,92
2012-07-27,3180575.83,3314236.923677942,92
2012-08-03,3549275.119999999,3515193.4490230554,92
2012-08-10,3640675.55,3686828.3885799833,92
2012-08-17,3514723.069999999,3618643.2726277555,92
2012-08-24,3374945.229999999,3437117.274051224,92
2012-08-31,3347357.3000000007,3560642.2232007994,92
2012-09-07,3888167.02,3869021.247580649,92
2012-09-14,3558737.2400000007,3750012.2811591267,92
2012-09-21,3468142.1199999996,3362926.313699137,92
2012-09-28,3332543.069999999,3464704.128839863,92
2012-10-05,3879477.8200000008,3882916.729973974,92
2012-10-12,3798269.9800000004,3865854.1475366903,92
2012-10-19,3570802.3200000003,3586189.0253701997,92
2012-10-26,3527936.66,3626448.875788243,92
2012-01-06,1227152.2199999997,1100412.559096976,93
2012-01-13,1180802.05,1246588.3665856149,93
2012-01-20,1108326.88,1087034.307204157,93
2012-01-27,995429.5799999997,1017691.7350200431,93
2012-02-03,1150371.02,1179741.4718643953,93
2012-02-10,1213798.4400000002,1245560.9661831644,93
2012-02-17,1114971.88,1091259.3803960895,93
2012-02-24,1024050.21,1072270.089747547,93
2012-03-02,1064061.47,1089355.400960532,93
2012-03-09,1186762.3699999999,1190751.8070717251,93
2012-03-16,1134925.0899999996,1111707.6195902356,93
2012-03-23,1019658.8899999997,1058555.9502890417,93
2012-03-30,988889.2699999999,1036588.6853978906,93
2012-04-06,1344225.4800000002,1252620.209084817,93
2012-04-13,1176663.1600000001,1141482.8884603137,93
2012-04-20,1058518.29,1191090.9797010385,93
2012-04-27,995492.1999999997,1009681.4757752292,93
2012-05-04,1142411.82,1228740.6880954148,93
2012-05-11,1187209.1800000004,1212246.571351499,93
2012-05-18,1123093.21,1149528.8757763957,93
2012-05-25,1151425.3199999996,1112361.547531661,93
2012-06-01,1221361.6099999999,1256600.414850242,93
2012-06-08,1292845.53,1270383.333881723,93
2012-06-15,1232337.8800000001,1211912.1610928434,93
2012-06-22,1143398.7499999998,1124866.386865252,93
2012-06-29,1086227.04,1158719.753697881,93
2012-07-06,1495034.2100000004,1383080.5266585643,93
2012-07-13,1213530.92,1234066.5773156828,93
2012-07-20,1136389.24,1132268.9719903157,93
2012-07-27,1042404.2400000001,1046687.1168958133,93
2012-08-03,1177581.7499999998,1194052.6790668673,93
2012-08-10,1240343.93,1241763.2495800585,93
2012-08-17,1183574.5100000002,1139015.1838028966,93
2012-08-24,1074078.6,1090294.863712684,93
2012-08-31,1100188.0500000005,1120568.3018753626,93
2012-09-07,1363217.6400000004,1323703.3018681856,93
2012-09-14,1186415.52,1215964.014110694,93
2012-09-21,1110293.87,1100590.8684714865,93
2012-09-28,1024402.4700000002,1021897.4106236782,93
2012-10-05,1232479.3,1228749.602340189,93
2012-10-12,1210898.89,1228362.939310238,93
2012-10-19,1110092.0899999999,1100817.737633003,93
2012-10-26,1049693.34,1060841.2909270716,93
2012-01-06,1936413.7100000002,1595793.3304169122,2
2012-01-13,1852848.9200000002,1697148.7399665797,2
2012-01-20,1867059.89,1848383.6374630039,2
2012-01-27,1730179.8499999999,1786694.1194961094,2
2012-02-03,1995274.0500000003,1814459.1852324458,2
2012-02-10,2037945.8600000003,1966650.6308089783,2
2012-02-17,1976676.2199999997,1977632.4412012126,2
2012-02-24,2046897.0299999993,1922555.7395762603,2
2012-03-02,2057833.0899999996,1979703.235038212,2
2012-03-09,2040874.9900000005,1997586.334502797,2
2012-03-16,1974819.0199999996,1892093.99004539,2
2012-03-23,1910885.6300000001,1860506.3945765363,2
2012-03-30,1920718.83,1936131.858073739,2
2012-04-06,2097789.3500000006,1957753.1667884684,2
2012-04-13,1878746.1600000004,1940230.1398535254,2
2012-04-20,1966964.14,1963028.2772667322,2
2012-04-27,1884426.2,1957005.8966324935,2
2012-05-04,2005742.5400000003,1910023.3491376548,2
2012-05-11,1898293.7899999998,1914461.097736617,2
2012-05-18,1911921.1400000001,1949133.9237548313,2
2012-05-25,2005529.95,1962831.0625092771,2
2012-06-01,1981080.9100000001,2006744.0868588223,2
2012-06-08,2090713.5799999998,2057113.890147473,2
2012-06-15,2012809.6700000004,2027091.39280411,2
2012-06-22,2018846.25,1994533.003925736,2
2012-06-29,2030133.8700000003,2051959.4863896875,2
2012-07-06,2116216.630000001,2093427.7721245857,2
2012-07-13,2002513.34,2055845.6457092382,2
2012-07-20,2023071.1299999997,2050094.0310239412,2
2012-07-27,1956474.2900000005,2093140.2418518248,2
2012-08-03,2095041.3099999998,2100313.5682871765,2
2012-08-10,2068667.1000000006,2109672.2273799665,2
2012-08-17,2113176.6,2161104.532857572,2
2012-08-24,2130178.25,2166950.859000605,2
2012-08-31,2086129.2099999995,2114254.776961258,2
2012-09-07,2076768.159999999,2069436.7585561837,2
2012-09-14,1896324.5799999998,1994030.1654824202,2
2012-09-21,1891218.6399999997,1897992.8091000915,2
2012-09-28,1871196.1499999997,1917952.0817735046,2
2012-10-05,1988021.85,1996656.9493878288,2
2012-10-12,1854886.4500000004,1944254.2582127873,2
2012-10-19,1879765.3999999994,1857282.4886917742,2
2012-10-26,1871912.1500000008,1906823.5762048233,2
2012-01-06,3059249.38,2682196.71972746,95
2012-01-13,2926984.6600000006,2905704.880043992,95
2012-01-20,2958740.81,2961991.047357083,95
2012-01-27,2773665.3000000007,2930935.0057392493,95
2012-02-03,3066161.289999999,3085910.0959153413,95
2012-02-10,3161814.72,3179026.7913483456,95
2012-02-17,2954428.45,2991760.188444793,95
2012-02-24,2963563.8200000003,2863865.7803847194,95
2012-03-02,3032242.47,3024240.9782434446,95
2012-03-09,3225771.059999999,3173049.0766363535,95
2012-03-16,3168037.249999999,3094277.715381679,95
2012-03-23,2984946.759999999,2985584.3424995216,95
2012-03-30,3036695.2400000016,3036888.230630126,95
2012-04-06,3407441.81,3175563.5905780536,95
2012-04-13,3091855.6799999997,3238567.5076107695,95
2012-04-20,3123172.3600000003,3182920.1001766725,95
2012-04-27,3086089.08,3149790.4197832956,95
2012-05-04,3316988.19,3251283.549747274,95
2012-05-11,3277276.4600000014,3344625.643280675,95
2012-05-18,3214710.860000001,3316134.1470016353,95
2012-05-25,3401920.360000001,3374216.85437495,95
2012-06-01,3328657.29,3618637.7236104845,95
2012-06-08,3511273.289999999,3732108.8577662823,95
2012-06-15,3473471.5700000008,3575206.3365711216,95
2012-06-22,3391574.5500000003,3498691.9574282994,95
2012-06-29,3430442.5300000007,3662857.8034903975,95
2012-07-06,3816877.209999999,3743120.5108469003,95
2012-07-13,3369422.0700000003,3574792.7069675904,95
2012-07-20,3323364.7399999998,3405679.1694089216,95
2012-07-27,3205849.610000001,3413235.860148554,95
2012-08-03,3411164.17,3509417.9641586333,95
2012-08-10,3476366.0500000003,3560133.6102015204,95
2012-08-17,3355095.739999999,3506648.986172048,95
2012-08-24,3222483.33,3428269.892886341,95
2012-08-31,3299120.9300000006,3463817.8883081777,95
2012-09-07,3504054.5999999987,3508823.2828231435,95
2012-09-14,3164634.8,3335790.567314451,95
2012-09-21,3084955.099999999,3100442.335391517,95
2012-09-28,2975247.209999999,3134197.5548810684,95
2012-10-05,3216723.39,3299518.8464436913,95
2012-10-12,3078724.62,3257719.2167310226,95
2012-10-19,3017913.920000001,3104134.9458833835,95
2012-10-26,3002617.2700000005,3070974.751418291,95
2012-01-06,3110692.2100000004,3018074.151599469,38
2012-01-13,3048915.22,3073875.882474303,38
2012-01-20,2835067.849999998,2858844.534595867,38
2012-01-27,2887702.33,2811809.4942555754,38
2012-02-03,3121192.96,2954072.4618943576,38
2012-02-10,2972930.7699999996,2959534.9194731526,38
2012-02-17,2974062.82,2826539.4676676407,38
2012-02-24,2787724.43,2856302.2466950985,38
2012-03-02,3128520.25,3037278.983732601,38
2012-03-09,2983339.9099999997,3032458.7364747934,38
2012-03-16,2880025.9599999995,2811711.474301769,38
2012-03-23,2900676.8600000003,2736801.7755148476,38
2012-03-30,2944016.09,2910924.0834799693,38
2012-04-06,3081965.2700000005,2999931.9495793744,38
2012-04-13,2898806.6999999997,2850381.789764606,38
2012-04-20,2878236.3,2737163.5321624815,38
2012-04-27,2855480.13,2833868.465425977,38
2012-05-04,3103771.1400000006,2945842.1555386293,38
2012-05-11,2868055.24,2906010.7361510666,38
2012-05-18,2813973.21,2804581.609662958,38
2012-05-25,2756526.689999999,2752592.7610699483,38
2012-06-01,2643747.53,2744999.173243737,38
2012-06-08,2859534.6500000004,2757136.9737891816,38
2012-06-15,2636544.84,2772892.5695659867,38
2012-06-22,2606796.21,2776807.5091774603,38
2012-06-29,2688622.24,2783214.379491538,38
2012-07-06,2738080.380000001,2782999.899334871,38
2012-07-13,2795184.47,2733827.731102681,38
2012-07-20,2728844.3799999994,2688274.513707225,38
2012-07-27,2645343.5599999996,2745253.321931307,38
2012-08-03,2805902.2500000005,2833995.8729382847,38
2012-08-10,2673662.599999999,2810112.865674366,38
2012-08-17,2569776.55,2731734.13093185,38
2012-08-24,2616047.3099999996,2743463.3445113683,38
2012-08-31,2728983.62,2802605.8657215154,38
2012-09-07,2624917.0700000008,2800711.655954225,38
2012-09-14,2751215.4600000004,2778208.552736683,38
2012-09-21,2665724.5100000002,2807768.5137505066,38
2012-09-28,2679612.7800000003,2863497.767946115,38
2012-10-05,2812368.3000000003,2894828.463994072,38
